Task,Description,Output
Network for proprietary deal flow,"Attend founder events, maintain relationships with operators, angels, and other VCs to build a steady stream of warm introductions to promising startups before they hit the market.",New startup added to CRM or research list.
Monitor top investor portfolios,"Track new investments made by top-tier VCs (Benchmark, Sequoia, a16z, Founders Fund) to surface co-investment opportunities and identify hot companies early.",New companies flagged and added to watchlist.
Scan accelerator cohorts,"Systematically review YC, Techstars, and other accelerator batch lists each cycle to identify promising companies that fit the fund's thesis.",Shortlist of companies to screen added to research list.
Track industry news and signals,"Monitor TechCrunch, LinkedIn, newsletters, and data aggregators for new companies announcing fundraises or milestones.",New companies identified and logged in CRM.
Search Crunchbase or PitchBook,"Proactively query databases for companies matching the fund's investment thesis by stage, sector, geography, and traction metrics.",List of companies to evaluate added to deal flow.
Leverage LP and advisor network,"Email or call LPs, advisors, and portfolio CEOs to ask for introductions to founders building in priority areas.",Warm introductions to founders received.
Monitor GitHub and Product Hunt,"Track technical founders shipping open source projects or consumer products in high-priority verticals to surface companies before they raise.",Companies added to radar for outreach.
Build a conference target list,"Before attending a major conference (SaaStr, YC Demo Day, Founders Forum), identify which companies and founders to prioritize meeting.",Meeting schedule built and calendar blocked.
Analyze competitor VC portfolios,"Review what competing funds have recently backed to understand market dynamics, avoid overlap, and spot signals of where top investors see opportunity.",Market intelligence notes saved to CRM.
Review inbound pitches,"Triage unsolicited pitch decks and intro requests from founders, syndicates, and scouts to determine which warrant further review.",Pass decision or advancement to initial screen.
Screen a company,"Review basic details on a company—team background, market, product, stage, and traction—to decide whether it fits the investment thesis and warrants deeper attention.",Pass or advance to outreach; CRM updated.
Review pitch deck,"Evaluate the startup's pitch materials for narrative clarity, market opportunity, business model, team quality, traction, and fundraising ask.",Decision to advance or pass; key questions noted.
Evaluate market size,"Assess Total Addressable Market (TAM), Serviceable Addressable Market (SAM), and Serviceable Obtainable Market (SOM) to determine if the opportunity can support a venture-scale outcome.",Market size assessment saved to startup record.
Assess founder-market fit,"Evaluate whether the founding team has deep domain expertise, lived experience, or an unfair insight advantage in the problem they are solving.",Founder assessment notes added to CRM.
Check stage and check size fit,"Confirm the startup's current stage and fundraising ask align with the fund's check size, ownership targets, and stage strategy.",Stage and fit confirmation logged.
Apply fund scoring criteria,"Use the fund's internal scoring rubric—covering founder quality, market size, product, and traction—to rank and compare the opportunity against others in the pipeline.",Scored startup record with rank and flag.
Check funding history,"Review prior rounds, SAFEs, convertible notes, valuations, and existing investor names to understand the company's capitalization history.",Funding history logged and cap table previewed.
Assess geographic fit,"Evaluate whether the company's headquarters and target market align with the fund's geographic focus and ability to add value.",Location and market fit assessment logged.
Research recent company news,"Scan for press coverage, product launches, executive hires, and recent announcements to surface signals of momentum or risk.",Signal notes added to startup record.
Evaluate competitive landscape,"Identify key direct and adjacent competitors, assess market positioning, and determine the startup's differentiation and defensibility.",Competitive landscape notes saved.
Add a startup to the CRM,"Log a new company's details—name, website, stage, sector, founder names, and source—into the fund's deal tracking system.",CRM entry created and startup appears in deal flow.
Update startup pipeline status,"Move a company to the appropriate deal flow stage (Uncontacted, Outbound, First Call, Engage, Term Sheet) as the relationship progresses.",Status updated and movement recorded in CRM.
Add highlights and pros/cons,"Document specific strengths and risks identified during initial review—such as a repeat founder, high churn, or category leadership—as structured notes on the startup.",Highlights attached to the startup record.
Send an outbound note,"Craft and send a personalized introductory message to a founder that explains genuine investment interest and a specific reason for reaching out.",Email or LinkedIn message sent; outreach logged.
Request a warm introduction,"Identify a mutual connection and ask them to facilitate a warm introduction to a specific founder to increase response rate.",Introduction request sent; awaiting intro.
Follow up after outbound,"Re-engage founders who haven't responded to the initial outreach with a brief, non-pushy follow-up message.",Follow-up message sent; outreach record updated.
Schedule first call,"Coordinate calendars with the founder and confirm a 30-60 minute introductory call.",Meeting booked and calendar invite sent.
Send post-meeting follow-up,"Send a brief thank-you note after the initial call with a summary of interest and clear next steps.",Email sent; CRM updated with meeting notes.
Reach out for deal update,"Contact a founder you have been tracking to check on fundraising progress, key milestones hit, and round status.",Status update received and CRM refreshed.
Conduct first call with founders,"Have an initial introductory meeting with founders to hear the pitch, ask clarifying questions, and assess the team's vision, coachability, and communication style.",Meeting notes logged; decision to advance or pass.
Request a product demo,"Ask founders to walk through or provide access to the product to evaluate quality, user experience, and technical sophistication firsthand.",Demo completed; product assessment notes saved.
